name,address,email,phone_number,banking_account
Scholastic Inc.,6649 N Blue Gum St,jbutt@gmail.com,504-845-1427,852108317604044      
Scholastic,4 B Blue Ridge Blvd,josephine_darakjy@darakjy.org,810-374-9840,399344935134888      
Nimble Books,8 W Cerritos Ave #54,art@venere.org,856-264-4130,323819304004582      
Gramercy Books,639 Main St,lpaprocki@hotmail.com,907-921-2010,890933032806456      
Del Rey Books,34 Center St,donette.foller@cox.net,513-549-4561,544486756278958      
Crown,3 Mcauley Dr,simona@morasca.com,419-800-6759,781691828225679      
Random House Audio,7 Eads St,mitsue_tollner@yahoo.com,773-924-8565,843508673732062      
Wings Books,7 W Jackson Blvd,leota@hotmail.com,408-813-1105,392370374331524      
Broadway Books,5 Boston Ave #88,sage_wieser@cox.net,605-794-4895,146106064221778      
William Morrow Paperbacks,228 Runamuck Pl #2808,kris@gmail.com,410-804-4694,120771629578705      
Ballantine Books,2371 Jerrold Ave,minna_amigon@yahoo.com,215-422-8694,673661735145074      
Houghton Mifflin Harcourt,37275 St  Rt 17m M,amaclead@gmail.com,631-677-3675,423384692212469      
Pragmatic Bookshelf,25 E 75th St #69,kiley.caldarera@aol.com,310-254-3084,480117089041660      
Atheneum Books for Young Readers: Richard Jackson Books,98 Connecticut Ave Nw,gruta@cox.net,440-579-7763,843900064692301      
Teacher Created Resources,56 E Morehead St,calbares@gmail.com,956-841-7216,274262285133155      
Delacorte Press,73 State Road 434 E,mattie@aol.com,602-953-6360,786673811167183      
Cherry Lane Music Company,69734 E Carrillo St,meaghan@hotmail.com,931-235-7959,539551841964646      
The New Press,322 New Horizon Blvd,gladys.rim@rim.org,414-377-2880,715454495335835      
Changeling Press,1 State Route 27,yuki_whobrey@aol.com,313-341-4470,271565419626978      
Viking Juvenile,394 Manchester Blvd,fletcher.flosi@yahoo.com,815-426-5657,839816837912247      
Firebird,6 S 33rd St,bette_nicka@cox.net,610-492-4643,466379004270732      
iUniverse,6 Greenleaf Ave,vinouye@aol.com,408-813-4592,309453886358453      
Shambhala,618 W Yakima Ave,willard@hotmail.com,972-896-4882,534788224163890      
Ivy Books,74 S Westgate St,mroyster@royster.com,518-448-8982,594469165356263      
Amistad,3273 State St,alisha@slusarski.com,732-635-3453,391638993850452      
HarperAudio,1 Central Ave,allene_iturbide@cox.net,715-530-9863,662290040339254      
Harper,86 Nw 66th St #8673,chanel.caudy@caudy.org,913-899-1103,929208572147345      
FT Press,2 Cedar Ave #84,ezekiel@chui.com,410-235-8738,581822920857991      
Archaia,90991 Thorburn Ave,wkusko@yahoo.com,212-934-5167,399924921292685      
Farrar  Straus and Giroux,386 9th Ave N,bfigeroa@aol.com,936-597-3614,590156530757286      
Farrar Straus Giroux,74874 Atlantic Ave,ammie@corrio.com,614-648-3265,986872788334206      
Dramatists Play Service,366 South Dr,francine_vocelka@vocelka.com,505-335-5293,331476995182127      
Vintage,45 E Liberty St,ernie_stenseth@aol.com,201-387-9093,567293178285534      
Routledge,4 Ralph Ct,albina@glick.com,732-782-6701,474955616661269      
North Light Books,2742 Distribution Way,asergi@gmail.com,212-753-2740,383459089908659      
Chosen Books,426 Wolf St,solange@shinko.com,504-265-8174,118915486206723      
Association for Supervision & Curriculum Development,128 Bransten Rd,jose@yahoo.com,212-569-4233,834931703017732      
Kingfisher,17 Morena Blvd,rozella.ostrosky@ostrosky.com,805-609-1531,993274369972250      
ASCD,775 W 17th St,valentine_gillian@gmail.com,210-300-6244,420838269621540      
Sovereign World,6980 Dorsett Rd,kati.rulapaugh@hotmail.com,785-219-7724,538447731789042      
Workman Publishing Company,2881 Lewis Rd,youlanda@aol.com,541-993-2611,911896279183414      
One Hour Entertainment,7219 Woodfield Rd,doldroyd@aol.com,913-645-8918,802921483038887      
Ace Books,1048 Main St,roxane@hotmail.com,907-335-6568,649406000771189      
Tor Books,678 3rd Ave,lperin@perin.org,305-995-2078,837850202540937      
Putnam,20 S Babcock St,erick.ferencz@aol.com,907-227-6777,459744421048136      
Tor Science Fiction,2 Lighthouse Ave,fsaylors@saylors.org,952-479-2375,657273526648783      
